NAVI PORTI MERCI SIZE MIN_VITA MAX_VITA LATO SPEED CAPACITY BANCHINE FILL LOADSPEED DAYS 
1000 100 1 1 50 50 1000 500 10 2 500000 200 10
1000 100 10 1 3 10 1000 500 10 2 500000 200 10
10 1000 100 100 3 10 1000 2000 1000 10 1000000 500 10
100 5 10 100 3 10 1000 500 1000 10 1000000 200 10

Parigi Test
100  10    10   1000    1        50    1000  500     10        2   500000   200    10
10   10    5     500    40      50     500   50000    1000      10   500000   500    800
20  10    5     500    40      50     500   50000    1000      7   500000   500    20
25   10    10     500    40      50     500   50000    1000      10   0   500    100
20  10    5     500    40      50     500   50000    1000      7   500000   500    2
